iter	F1	Logloss
73	0.6431439965	0.6508255829
74	0.6432299799	0.6506355043
75	0.6431767942	0.6504770991
76	0.6430966699	0.6502997054
77	0.6434137483	0.6501336347
78	0.6434656389	0.6499754629
79	0.6433949543	0.6498318048
80	0.6433063834	0.6496669793
81	0.6432553033	0.6495223873
82	0.643119512	0.6493702856
83	0.6432395307	0.6491742926
84	0.6431383068	0.6490198563
85	0.6433196981	0.6488847974
86	0.6436443826	0.6487213337
87	0.6439247043	0.6485771309
88	0.6439486165	0.6484081419
89	0.6441226632	0.6482846395
90	0.6441010847	0.6481588414
91	0.6442485944	0.6480081015
92	0.6440593501	0.6478802022
93	0.6442444428	0.6477452601
94	0.6441741159	0.6476171273
95	0.6443746562	0.6474947533
96	0.64438023	0.6473770486
97	0.6444691014	0.6472587991
98	0.6445228186	0.647156075
99	0.644671375	0.6470338566
100	0.6448530708	0.6469128445
101	0.645083685	0.6468183694
102	0.6452325398	0.646681365
103	0.6454586458	0.6465623374
104	0.6451920682	0.6464479011
105	0.6453876047	0.6463452159
106	0.6454524524	0.6462452934
107	0.6464008719	0.6457393771
108	0.6462742333	0.6456217113
109	0.646180749	0.6455045902
110	0.6462935886	0.6453928777
111	0.6462964008	0.6452248226
112	0.6464448517	0.6451230713
113	0.646342094	0.6450081292
114	0.6471160672	0.6445415127
115	0.6471390158	0.6444282827
116	0.6471750835	0.6443350528
117	0.6472715991	0.6442446633
118	0.6471770733	0.6441554023
119	0.6472724879	0.6440648183
120	0.6474106958	0.6438905764
121	0.6474314658	0.6437936111
122	0.6476353512	0.6437025212
123	0.6475968289	0.6435930267
124	0.6477452546	0.6435125983
125	0.6478044055	0.6434004578
126	0.6479489765	0.6433192124
127	0.6480235472	0.6432236478
128	0.6482046413	0.6431321689
129	0.6482146759	0.6430643087
130	0.648367217	0.6429898726
131	0.6484803774	0.6428189382
132	0.6486155003	0.642723646
133	0.6490559477	0.6423295978
134	0.6491045432	0.6422332161
135	0.6495640525	0.6418469501
136	0.6497673981	0.6417780782
137	0.6499681646	0.641555665
138	0.6501342466	0.6414244971
139	0.6501962682	0.6413587381
140	0.6502840689	0.6412892048
141	0.6504200615	0.6412159361
142	0.6504754725	0.6411137178
143	0.6504908856	0.6410339509
144	0.6505354124	0.6409543787
145	0.6507121303	0.6408534833
146	0.6507846296	0.640739981
147	0.6509031908	0.6406330156
148	0.6512758259	0.6402520414
149	0.6517706181	0.6398884603
150	0.651804646	0.6397746077
151	0.6519540964	0.6396902494
152	0.6519796888	0.6396069028
153	0.652109279	0.6395257741
154	0.652290105	0.6394439061
155	0.6522439586	0.6393658124
156	0.6524086779	0.6392792362
157	0.652397602	0.6391727767
158	0.65281835	0.6389498576
159	0.652837669	0.6388690012
160	0.6529053532	0.6387988064
161	0.6530923887	0.6384795445
162	0.6532117505	0.6384097777
163	0.6532701805	0.6383553028
164	0.6532519743	0.6383009446
165	0.6534306803	0.6379860018
166	0.6535122039	0.6379248343
167	0.6536850144	0.6378261569
168	0.6535928362	0.6377705535
169	0.6537497269	0.6376699695
170	0.6541153027	0.6373948323
171	0.6545708337	0.6371016794
172	0.6546420095	0.6370310177
173	0.6547178767	0.6369820681
174	0.6549429166	0.6367165807
175	0.6549426173	0.6366482536
176	0.6550015747	0.6365190314
177	0.6551107371	0.6364596926
178	0.6551536119	0.63639549
179	0.655424179	0.6361170065
180	0.6554325518	0.6360538934
181	0.6555078919	0.6359805858
182	0.6555456298	0.6358939317
183	0.655576476	0.635846344
184	0.6556430705	0.6357662659
185	0.6558336546	0.6356147478
186	0.6560608697	0.6353678597
187	0.6561492535	0.6353126066
188	0.6559999247	0.6352625675
189	0.656151375	0.6351589874
190	0.6561915064	0.6351084035
191	0.6563854379	0.6350173915
192	0.6564497693	0.6348868074
193	0.6564516736	0.6348221379
194	0.656462553	0.6347827603
195	0.6564503761	0.6347045888
196	0.6566432547	0.634618285
197	0.6565921981	0.6345554443
198	0.6567287064	0.6344892961
199	0.6567876842	0.6344374672
200	0.6567717473	0.6343849767
201	0.6568517647	0.6341526412
202	0.6569226968	0.6340980885
203	0.6570086268	0.6340606564
204	0.6571112575	0.6338636518
205	0.6572581215	0.6336589429
206	0.657237878	0.6336165692
207	0.6573967073	0.6335606545
208	0.6576124189	0.6333592919
209	0.6576117154	0.63329828
210	0.65767011	0.6332359063
211	0.6576391391	0.6331790189
212	0.6578153033	0.6331206918
213	0.6578939314	0.6330369172
214	0.6579592413	0.6329585511
215	0.6580582575	0.6329093681
216	0.6583157885	0.6327147759
217	0.6583622184	0.6326528691
218	0.6583825482	0.6326165265
219	0.6584992559	0.6325572267
220	0.6585128653	0.6325213511
221	0.6585777054	0.6324743081
222	0.6585232598	0.6324203779
223	0.6585489336	0.6323494827
224	0.6585993021	0.632300144
225	0.658634122	0.6322676925
226	0.6586587152	0.6322189764
227	0.6587494318	0.6321493263
228	0.658790277	0.6321084312
229	0.6588813999	0.6319266796
230	0.6588473682	0.6318599867
231	0.6589641678	0.631811076
232	0.6591261482	0.6316387408
233	0.6591702923	0.6315834098
234	0.6592818676	0.6315173395
235	0.6593263638	0.6314873783
236	0.6593077704	0.6314560942
237	0.6594255678	0.6313108407
238	0.6596066209	0.6311372603
239	0.6596787541	0.6310965986
240	0.6597199793	0.631035898
241	0.659722697	0.6309961703
242	0.6597697518	0.6309350805
243	0.6598060642	0.6308808002
244	0.6598836387	0.6308236793
245	0.6598994345	0.630780294
246	0.6598358627	0.630743679
247	0.6598269235	0.6307118112
248	0.6599178251	0.6305500596
249	0.6599325011	0.6305143008
250	0.6599760837	0.6304653122
251	0.6599384412	0.630438853
252	0.6600288185	0.630408386
253	0.660014198	0.6303705648
254	0.6601879932	0.6302998642
255	0.6602553974	0.6302544165
256	0.6603386025	0.6301897081
257	0.6605013397	0.6299634427
258	0.6605995414	0.6299105242
259	0.6607184985	0.6297525858
260	0.6607275567	0.6297145312
261	0.660744411	0.6296626633
262	0.6608025558	0.6296048421
263	0.6608386246	0.6295627797
264	0.660945482	0.6295269041
265	0.6609048546	0.6294669038
266	0.660907525	0.6293537128
267	0.661000512	0.6293185375
268	0.6611166449	0.6291921557
269	0.6611505476	0.6291652296
270	0.6611997866	0.6291061632
271	0.6613039137	0.6290732837
272	0.6613274796	0.6290468634
273	0.6613006779	0.6290176804
274	0.6612658802	0.6289876024
275	0.6613585128	0.6289473299
276	0.6613201378	0.6289105594
277	0.6613551648	0.6288748005
278	0.661300833	0.628846707
279	0.6613307268	0.6288184968
280	0.6614083629	0.6287740997
281	0.6614190331	0.6287347999
282	0.6616457567	0.6286840605
283	0.6617062274	0.6285344101
284	0.6617680046	0.6285161999
285	0.6617567191	0.6284910247
286	0.6617451186	0.6284416471
287	0.661797177	0.6284148377
288	0.6618335014	0.6283684562
289	0.6618599697	0.6283375222
290	0.6618222867	0.6282218797
291	0.6618237467	0.6281842921
292	0.6618628576	0.6281406343
293	0.6620386992	0.6281014513
294	0.6620022724	0.6280721126
295	0.6620982886	0.6280314121
296	0.6622087008	0.6279788049
297	0.6623270491	0.6279223455
298	0.6623257308	0.6278798162
299	0.6623006901	0.6277328118
300	0.6624030165	0.6276977533
301	0.6624457522	0.6276692318
302	0.6623263068	0.6275693481
303	0.662357826	0.627527597
304	0.6624100872	0.6274876358
305	0.6624349828	0.6274519547
306	0.6625391094	0.6274105927
307	0.6626538483	0.6273413706
308	0.6627185934	0.6272999308
309	0.6626849727	0.6272453002
310	0.6627277948	0.627216234
311	0.6627656633	0.6271962339
312	0.6627781113	0.6271591131
313	0.6629254917	0.6270288792
314	0.662976685	0.6269129254
315	0.6629669651	0.6268763883
316	0.6629257588	0.6268576723
317	0.6629620784	0.6268312131
318	0.6629942147	0.6267957655
319	0.6629957301	0.6267573217
320	0.6630375149	0.6266338193
321	0.6632501756	0.6265304337
322	0.6632881818	0.6265081379
323	0.6632740412	0.6264800833
324	0.6632537485	0.6264516786
325	0.6633561288	0.6264244022
326	0.6633147765	0.6263876316
327	0.6633875957	0.6263638572
328	0.6633220031	0.6262573588
329	0.6633333649	0.6262344793
330	0.6634644492	0.6261833896
331	0.6634750481	0.6261273583
332	0.6635441062	0.6260793426
333	0.6635754351	0.6260421829
334	0.6636069204	0.6260041283
335	0.6636306429	0.6259846729
336	0.663788086	0.625796501
337	0.6638069933	0.6257694192
338	0.6638809163	0.6257334658
339	0.663951843	0.6256987575
340	0.6639376458	0.6256851387
341	0.6639339024	0.6255800411
342	0.6639575119	0.6255596908
343	0.663995399	0.625522142
344	0.6639639512	0.6254879785
345	0.6639826366	0.6253962272
346	0.6641009619	0.6253635811
347	0.6641577137	0.6253229584
348	0.6641973146	0.6252893785
349	0.6642524941	0.6252632695
350	0.664287202	0.6252324522
351	0.6643407789	0.6252119074
352	0.6645112579	0.6251508566
353	0.6645174729	0.6250928797
354	0.664468483	0.6250646695
355	0.6645300106	0.6250329184
356	0.6646136512	0.6250022957
357	0.6645926263	0.6248951358
358	0.6647028319	0.6248102328
359	0.6646680496	0.6247868085
360	0.664802366	0.6247169639
361	0.6648071017	0.6246773529
362	0.6648558533	0.6245624497
363	0.6648809059	0.6245382473
364	0.6649139013	0.6244457178
365	0.6650277456	0.624418636
366	0.6650625237	0.6243592194
367	0.6650861732	0.624340659
368	0.6651272286	0.6243259897
369	0.6651335733	0.6242874292
370	0.6651747656	0.6242393746
371	0.6651951915	0.6241488684
372	0.6652157232	0.6241067282
373	0.6652473435	0.6240844324
374	0.6652931314	0.6240564167
375	0.6652930143	0.6239868834
376	0.6654287947	0.6239224473
377	0.6654762722	0.6238846262
378	0.6655536532	0.6238501124
379	0.6656452614	0.6237944313
380	0.6656704966	0.6237728359
381	0.665605827	0.6237304622
382	0.6656594838	0.6237012792
383	0.665607358	0.6236616682
384	0.665599462	0.6236340027
385	0.6657746349	0.6235298778
386	0.6657730391	0.6235116676
387	0.6657884761	0.623369955
388	0.6658342534	0.6233359471
389	0.6659685765	0.6232939625
390	0.66603808	0.6232322113
391	0.6659938116	0.6231987481
392	0.6661043494	0.6231706157
393	0.6661470081	0.6231276973
394	0.6661359528	0.6231002264
395	0.6662133314	0.6230721329
396	0.666186464	0.6230513935
397	0.6662148842	0.6230185529
398	0.666210116	0.6229869575
399	0.6662338432	0.6229611986
400	0.6663602179	0.6229457122
401	0.6664170882	0.6229112373
402	0.6663838842	0.6228404589
403	0.6664249473	0.6228076961
404	0.6665908202	0.622675789
405	0.6665497265	0.6226010027
406	0.6666350626	0.6225532204
407	0.6667235547	0.6225171503
408	0.6667061693	0.6224835315
409	0.6667014309	0.6224567609
410	0.6667788647	0.6224205351
411	0.6668104674	0.622404893
412	0.6667614889	0.6223531419
413	0.6668136453	0.6223125191
414	0.6668357731	0.6222825579
415	0.6668168207	0.6222502232
416	0.6669811992	0.6222182775
417	0.66686585	0.6221417792
418	0.6669480513	0.6221069542
419	0.6670475938	0.6220609618
420	0.6670697471	0.6220294052
421	0.6670555346	0.6220131017
422	0.6670919033	0.6219957086
423	0.6671883596	0.6218636459
424	0.667163096	0.6218379259
425	0.6671741677	0.6218013888
426	0.667185343	0.6217399489
427	0.6672754528	0.6217101044
428	0.6673102238	0.62169026
429	0.6673229047	0.6216690148
430	0.6673213172	0.6216423221
431	0.6674383027	0.6216029056
432	0.6674003691	0.6215599093
433	0.6674619927	0.6215327886
434	0.6674793721	0.6215094811
435	0.6674335645	0.6214759012
436	0.6674683649	0.621444228
437	0.6674921073	0.6214213485
438	0.6675174041	0.6213954729
439	0.6675079403	0.6213689359
440	0.667522148	0.621333605
441	0.6675205708	0.6212969122
442	0.6675094817	0.6212721651
443	0.6675315866	0.6212555502
444	0.6675505736	0.6212282349
445	0.6676327448	0.6212036434
446	0.6676216882	0.6211836822
447	0.6676802657	0.621094927
448	0.6676645783	0.6210756663
449	0.6676329648	0.6210483121
450	0.6676203354	0.6210232536
451	0.6676362014	0.6209962496
452	0.6677390654	0.6209014244
453	0.6677643832	0.6208887006
454	0.667857753	0.6208759379
455	0.6679572862	0.6208460545
456	0.6678782329	0.6208151206
457	0.6678813674	0.620790957
458	0.6678560837	0.6207636807
459	0.667837137	0.6207340308
460	0.6678087392	0.6207088945
461	0.6679006018	0.6206089719
462	0.6679306712	0.620579322
463	0.667995605	0.620555353
464	0.6679797532	0.6205332129
465	0.6679545293	0.6205186214
466	0.6680242369	0.6203937182
467	0.6681207369	0.6203646519
468	0.668172929	0.6203279592
469	0.6681159592	0.6202970641
470	0.6682124769	0.620264885
471	0.6682267834	0.6202353519
472	0.6682267834	0.6202167526
473	0.6682030603	0.6201941455
474	0.6681904491	0.6201690481
475	0.6681952831	0.6201491258
476	0.6682268945	0.6201288145
477	0.6682378518	0.6200976081
478	0.6682268611	0.6200638726
479	0.6682379189	0.6200442227
480	0.6684201031	0.6199358955
481	0.6684785447	0.619907802
482	0.6684722621	0.6198807202
483	0.6684706625	0.6198534827
484	0.6685292707	0.6198251169
485	0.6685831349	0.6197740272
486	0.6686574959	0.6197458169
487	0.668752448	0.6197147273
488	0.6687902474	0.6196701746
489	0.6688	0.6196392018
490	0.6688442092	0.6196196297
491	0.668877568	0.6195996685
492	0.6689693482	0.6195658941
493	0.6689551374	0.6195400963
494	0.6690058591	0.6195249601
495	0.6689866852	0.6194932479
496	0.6689884221	0.6194609132
497	0.6689458365	0.6194319636
498	0.6691356442	0.6193724693
499	0.6691120608	0.6193543369
500	0.6691452815	0.6193122356
501	0.6691628994	0.6192879164
502	0.6691690587	0.6192651537
503	0.6691610973	0.6192411458
504	0.6692117578	0.6192272936
505	0.6691482997	0.6191936748
506	0.6692083629	0.619167021
507	0.6692433519	0.6191541027
508	0.6692291074	0.6191249586
509	0.6691974948	0.6190979935
510	0.6692438843	0.6190113784
511	0.6692660409	0.6189918064
512	0.669256764	0.6189128177
513	0.6692899923	0.6188820394
514	0.6694022939	0.6188535179
515	0.6694868153	0.6187534008
516	0.669520068	0.6187217275
517	0.669573892	0.6187015718
518	0.6695295892	0.618677953
519	0.669518742	0.6186334782
520	0.6697014479	0.6185413377
521	0.669677775	0.6185162015
522	0.669677775	0.6184912208
523	0.6697063729	0.6184669406
524	0.6697333156	0.6184283412
525	0.669749163	0.6184036719
526	0.6697635075	0.6183748002
527	0.669758579	0.6183553837
528	0.6697726798	0.6183245276
529	0.6697647897	0.6183044497
530	0.669778934	0.6182851111
531	0.6698042383	0.6182584184
532	0.669867508	0.618235072
533	0.6698657342	0.6182157334
534	0.6699069257	0.6181956166
535	0.6699308674	0.6181657332
536	0.6699594226	0.6181358109
537	0.6699405568	0.6181170949
538	0.6700386535	0.6180853438
539	0.6699994298	0.6180119194
540	0.6701086776	0.6179917248
541	0.6700596142	0.6179723084
542	0.6700927807	0.617955499
543	0.6700865342	0.6179328919
544	0.6702289931	0.6179038645
545	0.6702953384	0.6178891563
546	0.670249491	0.6178708294
547	0.6702669312	0.6178503624
548	0.6702986529	0.617833981
549	0.6703064861	0.6177810625
550	0.6703367199	0.617755615
551	0.6703527522	0.6177277938
552	0.6704412886	0.6176995836
553	0.6704934508	0.6176775213
554	0.670473122	0.6176586107
555	0.6704983119	0.6176451865
556	0.6705286093	0.6176244861
557	0.670536548	0.6176146806
558	0.670542783	0.6175986883
559	0.6705114405	0.6175733964
560	0.6705036929	0.6175560811
561	0.6705243521	0.617536548
562	0.6705227037	0.6175118397
563	0.6705907234	0.6174937074
564	0.6706554101	0.6174688046
565	0.6705998641	0.6174549135
566	0.6706600201	0.6174325009
567	0.6706285464	0.6173625007
568	0.670638221	0.6173325784
569	0.6706714604	0.6173130841
570	0.6706774349	0.6172931619
571	0.6707063218	0.6172684925
572	0.6707694062	0.617254368
573	0.6707475008	0.6172311772
574	0.6708045311	0.6172151849
575	0.6707933732	0.6171972082
576	0.6707746563	0.6171753404
577	0.6708092836	0.6171529279
578	0.6707842499	0.6171370523
579	0.6707953498	0.6171287644
580	0.6707699327	0.6171103207
581	0.6708222433	0.6170918771
582	0.6708113503	0.6170756902
583	0.6708824361	0.6170602816
584	0.6708620698	0.617046624
585	0.6708500311	0.6170158068
586	0.6708294213	0.6169890751
587	0.6708725056	0.616942538
588	0.6709327755	0.6169199309
589	0.6709327451	0.616898997
590	0.6709815741	0.6168701642
591	0.6710996153	0.6167853779
592	0.6710667091	0.6167357668
593	0.67108088	0.6167132375
594	0.6710936757	0.616688218
595	0.6711666623	0.6166493851
596	0.6711525247	0.6166317975
597	0.6711442904	0.6166081788
598	0.6711617147	0.6165988013
599	0.6712537536	0.6165528867
600	0.6712159074	0.6165315248
601	0.6712998737	0.6165069333
602	0.6713393787	0.6164977503
603	0.6712728068	0.6164705518
604	0.6712793883	0.6164519136
605	0.6712811489	0.6164394233
606	0.6713271416	0.6164224193
607	0.6713431714	0.6164066994
608	0.6713699083	0.6163906682
609	0.6714550642	0.6163626137
610	0.6714821014	0.6163473996
611	0.6715295494	0.6163337809
612	0.6715450634	0.6163191115
613	0.6715448894	0.6163012905
614	0.6715402391	0.6162879441
615	0.6715498181	0.6162821464
616	0.6715054978	0.6162613292
617	0.6715451329	0.6162491502
618	0.6715518328	0.6162336248
619	0.6715327079	0.6162209789
620	0.6715276754	0.6162057648
621	0.671497998	0.6161683328
622	0.671556588	0.6161478658
623	0.6715646763	0.6161323404
624	0.6715811351	0.6160883714
625	0.6716346222	0.6160665036
626	0.6716237971	0.6160480989
627	0.6716206737	0.6160305891
628	0.6716477538	0.6160102388
629	0.6717318	0.6159689546
630	0.6716905933	0.6159555304
631	0.6717224323	0.6159372424
632	0.6717001053	0.6159208999
633	0.6717464304	0.6158659192
634	0.6717211234	0.6158441292
635	0.67175725	0.6158263081
636	0.6717744582	0.6158121058
637	0.6717932256	0.61579981
638	0.6717821535	0.6157833508
639	0.6717776531	0.6157616386
640	0.6717558341	0.6157481366
641	0.6717701392	0.6157287981
642	0.6718206766	0.6157128058
643	0.6718316759	0.6156947512
644	0.671795445	0.6156781364
645	0.6718511067	0.6156601208
646	0.6718733278	0.6156100427
647	0.6718150208	0.6155898481
648	0.6718813916	0.6155788753
649	0.6719204794	0.6155652177
650	0.671934973	0.615548097
651	0.6720002283	0.6155293031
652	0.6719634347	0.615508019
653	0.6719827248	0.6154826104
654	0.6721647131	0.6154133105
655	0.6721822177	0.6153958396
656	0.6721636245	0.6153716372
657	0.6721621043	0.6153482908
658	0.6722158671	0.6153314814
659	0.6723010411	0.6153134269
660	0.6722807385	0.6152990688
661	0.6722491623	0.6152825318
662	0.6722792598	0.6152729598
663	0.6723012019	0.6152462282
664	0.6722837758	0.6152256444
665	0.6722984061	0.6151949439
666	0.6723488452	0.6151761112
667	0.6724139161	0.6151549438
668	0.6724248636	0.6151371616
669	0.6724372861	0.6151183678
670	0.6724344172	0.6151045934
671	0.6724548349	0.6150878229
672	0.6724532771	0.6150680174
673	0.6724691446	0.6150510912
674	0.6724723016	0.6150296904
675	0.6725012961	0.6150158382
676	0.6725025208	0.6150039704
677	0.6725675502	0.6149887953
678	0.6725516402	0.6149742816
679	0.6726212558	0.6149577057
680	0.6726324526	0.6149403904
681	0.6726326228	0.6149250986
682	0.6726372939	0.6149033864
683	0.6726468917	0.6148869661
684	0.6726643599	0.6148706236
685	0.6726818282	0.6148501177
686	0.6727135658	0.6148312072
687	0.67278638	0.6148164211
688	0.6728086051	0.6148006623
689	0.6728989743	0.6147608956
690	0.6728486964	0.614721985
691	0.6728296699	0.6147127242
692	0.6728790138	0.6146935802
693	0.6728938173	0.6146391831
694	0.6729287182	0.6146259924
695	0.6729320983	0.6146094554
696	0.6728654954	0.6145947082
697	0.6729450385	0.6145765369
698	0.672913381	0.6145605836
699	0.6729418369	0.6145444357
700	0.6729672703	0.6145037351
701	0.6729810473	0.6144924121
702	0.6729922076	0.6144773148
703	0.6730461837	0.614461984
704	0.6730255991	0.6144510112
705	0.6730777007	0.6144243574
706	0.6730933897	0.6144074312
707	0.6731312612	0.6143837347
708	0.6731631437	0.6143731899
709	0.673158711	0.6143547462
710	0.67319055	0.6143363026
711	0.6732268669	0.6142760689
712	0.6732395371	0.6142632673
713	0.6732603085	0.6142522167
714	0.6732587541	0.6142327224
715	0.6732984617	0.614220699
716	0.6733271011	0.6141724887
717	0.6733648739	0.6141564965
718	0.6733695355	0.614143189
719	0.6734298253	0.6141218271
720	0.673428706	0.6140991032
721	0.6734670089	0.6140825273
722	0.6734958475	0.6140642004
