iter	Passed	Remaining
399	41310	268518
400	41403	268347
401	41494	268163
402	41586	267987
403	41690	267890
404	41786	267741
405	41878	267566
406	41983	267476
407	42084	267360
408	42198	267323
409	42306	267254
410	42425	267247
411	42509	267028
412	42601	266850
413	42699	266717
414	42813	266682
415	42920	266604
416	43024	266502
417	43117	266336
418	43225	266265
419	43355	266328
420	43459	266230
421	43550	266052
422	43643	265887
423	43741	265750
424	43851	265687
425	43961	265624
426	44074	265581
427	44185	265525
428	44283	265388
429	44399	265362
430	44493	265207
431	44610	265182
432	44727	265164
433	44811	264944
434	44925	264905
435	45035	264843
436	45130	264688
437	45215	264479
438	45307	264312
439	45435	264353
440	45544	264280
441	45637	264117
442	45749	264064
443	45842	263905
444	45934	263734
445	46062	263772
446	46160	263642
447	46249	263455
448	46355	263371
449	46454	263243
450	46539	263034
451	46644	262941
452	46737	262784
453	46822	262575
454	46909	262381
455	47038	262428
456	47161	262433
457	47253	262268
458	47351	262134
459	47436	261930
460	47544	261857
461	47646	261747
462	47754	261670
463	47841	261479
464	47925	261270
465	48009	261062
466	48102	260905
467	48208	260820
468	48321	260772
469	48408	260582
470	48498	260409
471	48603	260314
472	48694	260152
473	48803	260081
474	48921	260053
475	49014	259898
476	49118	259803
477	49205	259614
478	49312	259533
479	49418	259444
480	49506	259265
481	49645	259350
482	49733	259171
483	49821	258990
484	49934	258939
485	50029	258792
486	50142	258743
487	50267	258751
488	50360	258599
489	50475	258560
490	50597	258553
491	50692	258410
492	50803	258344
493	50912	258272
494	51015	258168
495	51123	258092
496	51219	257953
497	51333	257905
498	51423	257737
499	51508	257542
500	51599	257380
501	51693	257231
502	51799	257142
503	51891	256986
504	51978	256805
505	52086	256727
506	52192	256639
507	52274	256434
508	52395	256419
509	52501	256330
510	52588	256149
511	52681	255998
512	52770	255828
513	52875	255735
514	52964	255568
515	53060	255428
516	53154	255284
517	53277	255278
518	53383	255190
519	53469	255009
520	53558	254838
521	53684	254846
522	53787	254745
523	53903	254706
524	53997	254560
525	54083	254378
526	54206	254369
527	54311	254276
528	54414	254172
529	54533	254145
530	54627	254000
531	54737	253930
532	54846	253856
533	54960	253804
534	55081	253786
535	55183	253679
536	55287	253582
537	55400	253524
538	55491	253364
539	55582	253207
540	55691	253134
541	55798	253047
542	55899	252939
543	56006	252854
544	56095	252687
545	56184	252522
546	56324	252584
547	56409	252403
548	56493	252213
549	56600	252130
550	56694	251988
551	56789	251848
552	56904	251800
553	57014	251729
554	57144	251742
555	57241	251614
556	57346	251522
557	57429	251333
558	57528	251211
559	57641	251150
560	57727	250975
561	57832	250883
562	57923	250727
563	58029	250639
564	58135	250549
565	58225	250388
566	58327	250284
567	58411	250099
568	58518	250014
569	58634	249969
570	58722	249802
571	58850	249805
572	58965	249753
573	59057	249603
574	59152	249468
575	59234	249279
576	59339	249184
577	59450	249117
578	59537	248948
579	59633	248814
580	59779	248890
581	59876	248766
582	59982	248676
583	60109	248670
584	60197	248508
585	60295	248383
586	60381	248211
587	60472	248061
588	60592	248029
589	60691	247908
590	60780	247751
591	60895	247696
592	60994	247577
593	61132	247616
594	61266	247639
595	61361	247504
596	61482	247473
597	61594	247407
598	61691	247280
599	61780	247121
600	61896	247069
601	61985	246913
602	62074	246754
603	62191	246707
604	62274	246526
605	62388	246466
606	62473	246291
607	62599	246278
608	62693	246142
609	62802	246064
610	62891	245903
611	62978	245738
612	63087	245659
613	63180	245518
614	63287	245432
615	63393	245342
616	63505	245271
617	63597	245127
618	63714	245080
619	63811	244952
620	63899	244795
621	63995	244664
622	64096	244554
623	64219	244528
624	64304	244358
625	64416	244288
626	64514	244167
627	64617	244063
628	64725	243982
629	64816	243834
630	64925	243752
631	65045	243714
632	65157	243645
633	65246	243489
634	65352	243400
635	65447	243267
636	65546	243148
637	65640	243015
638	65739	242896
639	65849	242818
640	65955	242727
641	66065	242650
642	66157	242507
643	66241	242336
644	66335	242200
645	66414	242013
646	66502	241856
647	66596	241718
648	66690	241584
649	66781	241440
650	66889	241356
651	66995	241267
652	67083	241111
653	67194	241038
654	67291	240913
655	67385	240780
656	67492	240693
657	67585	240553
658	67673	240401
659	67770	240278
660	67860	240130
661	67985	240106
662	68075	239958
663	68180	239864
664	68276	239738
665	68362	239577
666	68469	239487
667	68565	239364
668	68673	239279
669	68801	239264
670	68891	239117
671	68982	238975
672	69088	238884
673	69196	238799
674	69308	238729
675	69414	238638
676	69528	238572
677	69644	238517
678	69737	238381
679	69848	238308
680	69938	238160
681	70038	238048
682	70146	237964
683	70272	237940
684	70360	237787
685	70461	237679
686	70576	237617
687	70663	237460
688	70791	237442
689	70886	237314
690	70993	237226
691	71082	237078
692	71166	236911
693	71260	236783
694	71362	236678
695	71457	236550
696	71560	236447
697	71654	236315
698	71736	236144
699	71825	235997
700	71920	235869
701	72010	235727
702	72108	235609
703	72204	235486
704	72294	235340
705	72395	235232
706	72485	235092
707	72607	235051
708	72698	234912
709	72788	234767
710	72904	234710
711	72998	234579
712	73126	234558
713	73219	234425
714	73325	234332
715	73433	234248
716	73541	234162
717	73627	234008
718	73722	233882
719	73841	233830
720	73932	233691
721	74023	233552
722	74117	233422
